,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
5038,55,PALASHIPARA,No,Graduate,Shahjahan Mollick in West Bengal 2011,0,Y,Muslim League Kerala State Committee,3327920,552000,http://myneta.info/compare_profile.php?group_id=jxRDd3NtGv7ZyrkMsrwr,http://myneta.info/westbengal2011/candidate.php?candidate_id=490
5039,53,Krishnanagar,Yes,Graduate Professional,SHAHJAHAN MALLIK in Lok Sabha 2009,1,Y,MUL,1963567,543000,http://myneta.info/compare_profile.php?group_id=jxRDd3NtGv7ZyrkMsrwr,http://myneta.info/ls2009/candidate.php?candidate_id=7343
5040,41,MANISH ISHWARLAL JAIN,Yes,Graduate,Manish Ishwarlal Jain in Maharashtra Legislative Council,1,N,IND,770430229,308699888,http://myneta.info/compare_profile.php?group_id=9QHrE7k7LqnfGRqiRGHm,http://myneta.info/maharashtramlc/candidate.php?candidate_id=6
5041,45,RAVER,Yes,Graduate,Jain Manish Ishwarlal in Loksabha 2014,7,Y,NCP,1515146765,606612400,http://myneta.info/compare_profile.php?group_id=9QHrE7k7LqnfGRqiRGHm,http://myneta.info/ls2014/candidate.php?candidate_id=5595
5042,65,Kahalgaon,Yes,Graduate,Sadanand Singh in Bihar 2010,1,Y,INC,12649053,0,http://myneta.info/compare_profile.php?group_id=Nxya7tzseuwUcSm73zWf,http://myneta.info/bih2010/candidate.php?candidate_id=1607
5043,64,Bhagalpur,Yes,Graduate,SADANAND SINGH in Lok Sabha 2009,1,Y,INC,11368807,0,http://myneta.info/compare_profile.php?group_id=Nxya7tzseuwUcSm73zWf,http://myneta.info/ls2009/candidate.php?candidate_id=5013
5044,63,Colgong,No,Graduate,SADANAND SINGH  in Bihar 2005,0,Y,INC,4992587,0,http://myneta.info/compare_profile.php?group_id=Nxya7tzseuwUcSm73zWf,http://myneta.info/bih2005/candidate.php?candidate_id=56
5050,66,BHOKARDAN,No,Graduate,Kisan Balwanta Borde in Maharashtra Election 2014,0,Y,Republican Bahujan Sena,3125500,60000,http://myneta.info/compare_profile.php?group_id=zfVcNkwgYodnzTDkwGkh,http://myneta.info/maharashtra2014/candidate.php?candidate_id=3720
5051,61,Jalna,No,Graduate,KISAN BALVANTA BORDE in Lok Sabha 2009,0,Y,PRCP,3180000,38850,http://myneta.info/compare_profile.php?group_id=zfVcNkwgYodnzTDkwGkh,http://myneta.info/ls2009/candidate.php?candidate_id=3492
5052,46,Paithan,Yes,Graduate,Tawar Kailas Bhausaheb  in Maharashtra 2009,1,Y,SBP,2542500,1874318,http://myneta.info/compare_profile.php?group_id=4HjnxLipu5QF2Su5Bxh,http://myneta.info/mh2009/candidate.php?candidate_id=1874
5053,45,Jalna,Yes,Post Graduate,TAWAR KAILAS BHAUSAHEB in Lok Sabha 2009,1,Y,STBP,2351473,943000,http://myneta.info/compare_profile.php?group_id=4HjnxLipu5QF2Su5Bxh,http://myneta.info/ls2009/candidate.php?candidate_id=3494
5054,38,ARARIA,No,12th Pass,Syed Alamdar Hussain in Loksabha 2014,0,Y,IND,3610000,0,http://myneta.info/compare_profile.php?group_id=RUYfnmGkZKT3x4DoZsZM,http://myneta.info/ls2014/candidate.php?candidate_id=4459
5055,27,Muzaffarpur,No,12th Pass,SYED ALAMDAR HUSSAIN in Lok Sabha 2009,0,Y,IND,703500,1200,http://myneta.info/compare_profile.php?group_id=RUYfnmGkZKT3x4DoZsZM,http://myneta.info/ls2009/candidate.php?candidate_id=3147
5060,49,KOLHAPUR,No,Post Graduate,Sanjay Sadashiv Mandalik in Loksabha 2014,0,Y,SHS,11672709,920570,http://myneta.info/compare_profile.php?group_id=HxHZUZYuMryvezh8Kc8,http://myneta.info/ls2014/candidate.php?candidate_id=3533
